iter	RMSE
0	0.1513219868
1	0.1492992993
2	0.147170032
3	0.1451831368
4	0.1433323011
5	0.1416448258
6	0.1400144873
7	0.1385614117
8	0.1371739962
9	0.1359526155
10	0.1346962769
11	0.133556318
12	0.1324583503
13	0.1313959012
14	0.1303866779
15	0.129445933
16	0.1284350681
17	0.1276613331
18	0.1268783072
19	0.126075797
20	0.1252627788
21	0.1245919584
22	0.1239540874
23	0.1233222548
24	0.1227202844
25	0.1221836399
26	0.1216990343
27	0.1211919204
28	0.1207115616
29	0.1202788016
30	0.1197026874
31	0.1192414464
32	0.1188936508
33	0.1184897192
34	0.1181166298
35	0.1178264124
36	0.1174011523
37	0.11706992
38	0.1167979703
39	0.1164669272
40	0.1161937685
41	0.116004302
42	0.1157416317
43	0.1155156505
44	0.1152105407
45	0.1149888621
46	0.1145178595
47	0.1142954929
48	0.1140027455
49	0.113732369
50	0.1135353192
51	0.1132124817
52	0.1129438219
53	0.1127983931
54	0.1125763192
55	0.1123333967
56	0.1120913296
57	0.1118801663
58	0.1116079665
59	0.1113233726
60	0.1111711436
61	0.1109391629
62	0.1106732162
63	0.1104597568
64	0.1101736603
65	0.109992047
66	0.1097485908
67	0.1095815043
68	0.1091233225
69	0.1089493921
70	0.108734916
71	0.1085273935
72	0.108140931
73	0.1079525093
74	0.1078066726
75	0.1076067578
76	0.1074726268
77	0.1073326313
78	0.1071352563
79	0.1069858219
80	0.1068370206
81	0.1067242576
82	0.1065195783
83	0.1063514277
84	0.1061610284
85	0.105982788
86	0.1058459257
87	0.1057443459
88	0.105622133
89	0.10549405
90	0.1052904032
91	0.1051357118
92	0.1050520731
93	0.1048657475
94	0.1047697898
95	0.1046309846
96	0.1044437662
97	0.1042658423
98	0.1041356701
99	0.1038750781
100	0.1037218254
101	0.1035795672
102	0.1033220878
103	0.1031399573
104	0.1030399768
105	0.1028852053
106	0.1026895349
107	0.1025699666
108	0.1023189491
109	0.1022031626
110	0.1020568881
111	0.1018957703
112	0.1017395509
113	0.1016495893
114	0.1015301397
115	0.1014035972
116	0.1012788778
117	0.1010074481
118	0.1008645766
119	0.1007235241
120	0.1006222917
121	0.1003817904
122	0.1002344214
123	0.1001451954
124	0.1000617553
125	0.09986814291
126	0.09974262341
127	0.09957689025
128	0.0994970504
129	0.09943734348
130	0.09928208632
131	0.09905516942
132	0.09897075748
133	0.09886235516
134	0.09871755468
135	0.09858307499
136	0.09846655663
137	0.09837346519
138	0.09810513035
139	0.09798895165
140	0.09779180898
141	0.09754567435
142	0.09746776791
143	0.09731095561
144	0.09719507013
145	0.09693770091
146	0.09682027935
147	0.09662260507
148	0.09651724231
149	0.09628842225
150	0.0959972888
151	0.09584077433
152	0.09574883318
153	0.09569619485
154	0.095599084
155	0.09544353199
156	0.09525587833
157	0.09518197628
158	0.0950940311
159	0.09497819393
160	0.09492394574
161	0.094821656
162	0.0946708429
163	0.09453314444
164	0.0944594664
165	0.09437980307
166	0.09425412813
167	0.09409267722
168	0.0939491953
169	0.09374243061
170	0.09363387495
171	0.09353291795
172	0.09342965299
173	0.09329500402
174	0.09311144591
175	0.09299258334
176	0.09280462264
177	0.09263498345
178	0.09253417677
179	0.09242964242
180	0.09232902797
181	0.09216051305
182	0.09201529169
183	0.09190229588
184	0.0917963402
185	0.09164665922
186	0.09154820987
187	0.09134688239
188	0.09124655435
189	0.09109392024
190	0.09095766128
191	0.09087887749
192	0.09072339018
193	0.09056207423
194	0.09045976896
195	0.09033295727
196	0.09022858284
197	0.09012002724
198	0.09001628798
199	0.08987399225
200	0.089841066
201	0.08973240193
202	0.08964905191
203	0.08953960733
204	0.08939527991
205	0.08928510785
206	0.08921070101
207	0.08907519501
208	0.08887473617
209	0.08874721546
210	0.08861586753
211	0.08852115247
212	0.08845812227
213	0.08839437765
214	0.08826989488
215	0.08815327114
216	0.08802776559
217	0.08792064139
218	0.08783758573
219	0.08776191618
220	0.08767369133
221	0.08747728466
222	0.08736826546
223	0.08727538865
224	0.08718646058
225	0.08702402802
226	0.08686413324
227	0.08668140762
228	0.08655883848
229	0.08647123011
230	0.08641860328
231	0.08635872264
232	0.08622887479
233	0.08611135671
234	0.08602831227
235	0.08590046945
236	0.0857411415
237	0.08563885052
238	0.08554457325
239	0.08542232665
240	0.0853286162
241	0.08523225051
242	0.08514300853
243	0.08505545808
244	0.08500313652
245	0.08487270915
246	0.08476384402
247	0.08456432178
248	0.08445851226
249	0.08439817699
250	0.08431196848
251	0.08422124046
252	0.08411957752
253	0.08400807605
254	0.08386973314
255	0.08380340712
256	0.08370839019
257	0.08361825567
258	0.08356367417
259	0.08347779951
260	0.08337491976
261	0.08328363469
262	0.08318579204
263	0.0830701167
264	0.08297891507
265	0.08290797378
266	0.08283277614
267	0.08275326701
268	0.08266810183
269	0.0825982682
270	0.08245481276
271	0.08235443159
272	0.08228758118
273	0.082201489
274	0.08215165317
275	0.08208249762
276	0.0819844636
277	0.08188124363
278	0.08179281361
279	0.08169072247
280	0.08163157634
281	0.08155997465
282	0.08150374622
283	0.08139118985
284	0.08132991042
285	0.08125142735
286	0.08119956313
287	0.08111971391
288	0.0810626346
289	0.0809521986
290	0.08089652687
291	0.08079780409
292	0.08068763674
293	0.08059610227
294	0.08049419773
295	0.08041720098
296	0.0803067727
297	0.08024872199
298	0.08015073298
299	0.08007644292
300	0.0799951352
301	0.07990780533
302	0.07983598368
303	0.07973796352
304	0.07967887384
305	0.07961704636
306	0.07957268989
307	0.07945015193
308	0.07929210134
309	0.07922277978
310	0.07915487761
311	0.07908573145
312	0.0789867753
313	0.07890233197
314	0.07885207027
315	0.0787274087
316	0.07860613775
317	0.07851485
318	0.07847005345
319	0.07837976949
320	0.0783214622
321	0.07822555995
322	0.07813550236
323	0.07802520814
324	0.07796971882
325	0.07792149917
326	0.07785570883
327	0.07779170809
328	0.07774958936
329	0.07770680736
330	0.07762985399
331	0.0775583624
332	0.07748891943
333	0.07743375135
334	0.07731852633
335	0.07723456238
336	0.07716801041
337	0.07708572811
338	0.077030458
339	0.07697312227
340	0.0769162345
341	0.07684078068
342	0.07678642053
343	0.07673404162
344	0.07665211373
345	0.07653934263
346	0.07648729252
347	0.07642506963
348	0.07637018355
349	0.07631635269
350	0.07625376193
351	0.0761374335
352	0.07601685666
353	0.07595801175
354	0.07589938582
355	0.07579795067
356	0.07574013586
357	0.07567889256
358	0.07559730081
359	0.07553691459
360	0.07546088251
361	0.0754101258
362	0.07535164481
363	0.07529860868
364	0.0752264845
365	0.07516771934
366	0.07511516107
367	0.07501389213
368	0.0749070454
369	0.07484146669
370	0.07475837562
371	0.07468426326
372	0.07463953727
373	0.07454489437
374	0.07446050392
375	0.07438449
376	0.07430053664
377	0.0742630557
378	0.07419620995
379	0.07411955322
380	0.0740185449
381	0.07397661161
382	0.07392592794
383	0.07385138301
384	0.07378127682
385	0.07372822097
386	0.07368944631
387	0.07363132893
388	0.07357807086
389	0.0735195015
390	0.07342937334
391	0.07333704282
392	0.0732678712
393	0.07316199176
394	0.07311266164
395	0.07301881684
396	0.07295300211
397	0.07291268752
398	0.07286653661
399	0.07281584761
400	0.07271335403
401	0.07264424069
402	0.07258144708
403	0.07250253894
404	0.07242335316
405	0.07230090712
406	0.07226966948
407	0.07222550722
408	0.07212870531
409	0.07207429783
410	0.0719853199
411	0.07193857432
412	0.07189519907
413	0.07186694619
414	0.07183581778
415	0.07178938428
416	0.07172820141
417	0.07168684644
418	0.07162529486
419	0.07153936963
420	0.07150101008
421	0.07143284506
422	0.07134869602
423	0.0712869339
424	0.0712338639
425	0.07118809038
426	0.07112953884
427	0.07104848347
428	0.07100450719
429	0.07091938116
430	0.07082562304
431	0.07079795659
432	0.07074398817
433	0.0706866137
434	0.07062464352
435	0.07058004328
436	0.07050957582
437	0.07047000516
438	0.07037038562
439	0.0702673902
440	0.07022516282
441	0.0701872958
442	0.07014235711
443	0.070107997
444	0.07006022505
445	0.06998768421
446	0.06992087966
447	0.06986833915
448	0.0698225841
449	0.06974500398
450	0.06970639909
451	0.06965411455
452	0.06957444097
453	0.0695446973
454	0.06945112491
455	0.06939241327
456	0.06936101792
457	0.06926884449
458	0.0691999182
459	0.06915889474
460	0.06910832384
461	0.06906559601
462	0.06898225303
463	0.06890667825
464	0.06887497845
465	0.06880310605
466	0.06876120535
467	0.06870834874
468	0.0686691904
469	0.06861408071
470	0.06856718268
471	0.06849817678
472	0.06846084047
473	0.06840808054
474	0.06836798436
475	0.06833185005
476	0.06830336178
477	0.06826271865
478	0.06822151862
479	0.06817081736
480	0.06813036372
481	0.06808302402
482	0.06804609962
483	0.06798865288
484	0.06795333068
485	0.06788643168
486	0.06786059503
487	0.06778735745
488	0.0677158685
489	0.06769753894
490	0.06765708735
491	0.06760017138
492	0.067537798
493	0.06748767756
494	0.06740237532
495	0.06735103263
496	0.06730218858
497	0.06726494994
498	0.0672114619
499	0.06715105468
