iter	Passed	Remaining
0	154	77297
1	170	42522
2	182	30246
3	191	23789
4	197	19531
5	201	16623
6	208	14672
7	212	13094
8	217	11840
9	223	10931
10	227	10121
11	231	9430
12	236	8862
13	241	8383
14	245	7946
15	249	7561
16	256	7287
17	263	7049
18	268	6791
19	274	6590
20	278	6359
21	283	6154
22	289	6003
23	294	5836
24	298	5679
25	305	5562
26	309	5427
27	314	5300
28	320	5197
29	324	5081
30	328	4971
31	334	4898
32	339	4802
33	343	4712
34	349	4649
35	354	4572
36	359	4498
37	364	4436
38	369	4364
39	373	4292
40	383	4289
41	389	4249
42	395	4200
43	401	4160
44	406	4105
45	410	4054
46	419	4038
47	423	3987
48	429	3949
49	433	3899
50	440	3880
51	448	3864
52	454	3833
53	462	3816
54	467	3786
55	472	3743
56	477	3714
57	482	3678
58	487	3640
59	492	3610
60	497	3577
61	501	3541
62	505	3507
63	513	3499
64	518	3468
65	523	3439
66	529	3421
67	533	3391
68	537	3358
69	544	3342
70	548	3313
71	552	3283
72	558	3267
73	563	3241
74	567	3213
75	572	3191
76	577	3172
77	582	3148
78	586	3124
79	593	3113
80	597	3089
81	601	3065
82	609	3064
83	615	3047
84	621	3032
85	626	3016
86	631	2995
87	635	2976
88	640	2959
89	645	2941
90	649	2920
91	654	2904
92	660	2892
93	665	2873
94	672	2867
95	677	2850
96	681	2830
97	688	2823
98	693	2808
99	697	2791
100	704	2783
101	709	2766
102	713	2749
103	719	2741
104	724	2724
105	728	2707
106	733	2695
107	738	2680
108	742	2663
109	746	2647
110	752	2636
111	756	2620
112	760	2603
113	766	2594
114	770	2580
115	775	2565
116	779	2553
117	785	2541
118	789	2526
119	794	2515
120	800	2507
121	805	2495
122	809	2481
123	814	2470
124	818	2456
125	822	2442
126	827	2429
127	832	2420
128	836	2406
129	840	2393
130	846	2385
131	850	2372
132	855	2360
133	859	2346
134	865	2340
135	870	2328
136	874	2316
137	879	2307
138	883	2295
139	887	2282
140	891	2271
141	897	2261
142	902	2252
143	906	2240
144	912	2233
145	917	2223
146	921	2213
147	927	2206
148	932	2197
149	938	2189
150	946	2188
151	951	2179
152	961	2180
153	967	2174
154	982	2185
155	992	2188
156	999	2184
157	1010	2188
158	1015	2178
159	1024	2177
160	1030	2169
161	1035	2161
162	1045	2160
163	1050	2152
164	1059	2150
165	1067	2146
166	1075	2143
167	1080	2135
168	1090	2135
169	1097	2131
170	1108	2132
171	1114	2124
172	1120	2118
173	1127	2112
174	1134	2106
175	1141	2100
176	1146	2091
177	1154	2088
178	1160	2080
179	1169	2078
180	1175	2071
181	1180	2062
182	1188	2058
183	1193	2050
184	1200	2044
185	1209	2041
186	1217	2037
187	1225	2033
188	1234	2030
189	1241	2026
190	1248	2020
191	1255	2014
192	1263	2009
193	1270	2004
194	1275	1995
195	1281	1988
196	1287	1979
197	1291	1970
198	1297	1962
199	1302	1954
200	1307	1944
201	1313	1937
202	1320	1931
203	1326	1924
204	1338	1925
205	1346	1921
206	1368	1937
207	1375	1930
208	1384	1927
209	1391	1922
210	1403	1922
211	1412	1918
212	1420	1913
213	1427	1908
214	1434	1902
215	1443	1898
216	1450	1892
217	1457	1884
218	1462	1877
219	1470	1871
220	1480	1869
221	1492	1868
222	1496	1859
223	1501	1850
224	1507	1842
225	1513	1835
226	1517	1825
227	1522	1816
228	1530	1811
229	1534	1801
230	1540	1794
231	1546	1786
232	1551	1777
233	1558	1771
234	1563	1763
235	1568	1754
236	1576	1749
237	1581	1741
238	1586	1732
239	1592	1724
240	1596	1715
241	1600	1706
242	1608	1700
243	1612	1691
244	1616	1682
245	1623	1676
246	1628	1667
247	1632	1658
248	1638	1651
249	1642	1642
250	1647	1634
251	1653	1627
252	1657	1618
253	1663	1610
254	1670	1605
255	1674	1596
256	1679	1588
257	1684	1579
258	1688	1571
259	1692	1562
260	1696	1553
261	1703	1547
262	1708	1539
263	1712	1530
264	1717	1523
265	1722	1515
266	1727	1507
267	1732	1500
268	1738	1492
269	1742	1484
270	1748	1477
271	1753	1469
272	1757	1461
273	1762	1453
274	1768	1447
275	1772	1438
276	1777	1430
277	1783	1423
278	1787	1415
279	1791	1407
280	1798	1401
281	1803	1394
282	1808	1386
283	1814	1380
284	1819	1372
285	1823	1364
286	1829	1357
287	1834	1350
288	1838	1342
289	1845	1336
290	1850	1329
291	1854	1321
292	1860	1314
293	1867	1308
294	1871	1300
295	1877	1293
296	1884	1287
297	1888	1280
298	1896	1274
299	1901	1267
300	1905	1259
301	1912	1253
302	1917	1246
303	1922	1239
304	1929	1233
305	1934	1226
306	1942	1221
307	1948	1214
308	1953	1207
309	1960	1201
310	1965	1194
311	1970	1187
312	1976	1180
313	1981	1173
314	1987	1167
315	1994	1161
316	1999	1154
317	2006	1148
318	2011	1141
319	2016	1134
320	2023	1128
321	2029	1121
322	2035	1115
323	2042	1109
324	2047	1102
325	2053	1096
326	2060	1089
327	2065	1083
328	2073	1077
329	2078	1070
330	2085	1064
331	2092	1058
332	2097	1051
333	2104	1045
334	2111	1039
335	2117	1033
336	2124	1027
337	2132	1022
338	2139	1016
339	2151	1012
340	2176	1014
341	2200	1016
342	2226	1019
343	2244	1017
344	2254	1013
345	2261	1006
346	2281	1005
347	2288	999
348	2296	993
349	2304	987
350	2311	981
351	2319	975
352	2328	969
353	2336	963
354	2347	958
355	2354	952
356	2363	946
357	2371	940
358	2380	935
359	2388	928
360	2398	923
361	2406	917
362	2416	912
363	2428	907
364	2438	902
365	2453	898
366	2466	893
367	2477	888
368	2490	883
369	2500	878
370	2514	874
371	2528	870
372	2540	864
373	2555	861
374	2567	855
375	2579	850
376	2590	845
377	2602	839
378	2614	834
379	2627	829
380	2640	824
381	2652	819
382	2663	813
383	2676	808
384	2688	803
385	2701	797
386	2712	791
387	2727	787
388	2741	782
389	2754	776
390	2769	772
391	2781	766
392	2793	760
393	2807	755
394	2823	750
395	2836	744
396	2847	738
397	2858	732
398	2871	726
399	2883	720
400	2894	714
401	2907	708
402	2921	703
403	2935	697
404	2948	691
405	2962	685
406	2976	680
407	2988	673
408	3001	667
409	3015	661
410	3029	656
411	3042	649
412	3058	644
413	3069	637
414	3082	631
415	3096	625
416	3112	619
417	3127	613
418	3140	607
419	3155	601
420	3168	594
421	3180	587
422	3195	581
423	3210	575
424	3223	568
425	3238	562
426	3254	556
427	3264	549
428	3276	542
429	3289	535
430	3300	528
431	3313	521
432	3335	516
433	3351	509
434	3371	503
435	3388	497
436	3403	490
437	3418	483
438	3434	477
439	3453	470
440	3470	464
441	3489	457
442	3504	450
443	3522	444
444	3537	437
445	3553	430
446	3570	423
447	3585	416
448	3598	408
449	3612	401
450	3629	394
451	3646	387
452	3661	379
453	3675	372
454	3688	364
455	3702	357
456	3718	349
457	3731	342
458	3745	334
459	3758	326
460	3770	318
461	3782	311
462	3798	303
463	3812	295
464	3825	287
465	3840	280
466	3856	272
467	3868	264
468	3885	256
469	3900	248
470	3915	241
471	3930	233
472	3949	225
473	3962	217
474	3978	209
475	3991	201
476	4006	193
477	4018	184
478	4031	176
479	4042	168
480	4057	160
481	4072	152
482	4084	143
483	4099	135
484	4111	127
485	4123	118
486	4137	110
487	4151	102
488	4165	93
489	4177	85
490	4189	76
491	4201	68
492	4216	59
493	4236	51
494	4250	42
495	4263	34
496	4276	25
497	4290	17
498	4301	8
499	4314	0
