symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
GSIW,27.6,189.30821,1295892.0,3172.0,6020912128.0,408.5409836065574,1.0,1.0,0.9696048632218845,1.0,0.9939209726443768
XENE,60.78,44.921318,9903641.0,916825.0,4696774656.0,10.802106181659532,0.9969604863221885,0.9969604863221885,0.9726443768996961,0.9057750759878419,0.9829787234042553
DNTH,76.935,17.998466,3869520.0,794847.0,3325368064.0,4.868257664682637,0.9848024316109423,0.9908814589665653,0.9574468085106383,0.9300911854103343,0.9759878419452888
VRT,260.66,7.808754,15505554.0,6174205.0,99728113664.0,2.511344213546521,0.9422492401215805,0.9756838905775076,0.9756838905775076,0.8693009118541033,0.9533434650455928
UTHR,520.235,8.799352,690759.0,406900.0,22800697344.0,1.6976136642909805,0.9635258358662614,0.9118541033434651,0.9908814589665653,0.9878419452887538,0.9533434650455925
AGX,451.22,8.947645,559079.0,362415.0,6259960320.0,1.5426486210559718,0.9696048632218845,0.8905775075987842,0.9878419452887538,0.9848024316109423,0.947112462006079
LNTH,78.985,8.854746,1635637.0,956115.0,5370518016.0,1.7107115775821946,0.9665653495440729,0.9240121580547113,0.9179331306990881,0.9148936170212766,0.9367781155015197
LITE,614.2553,9.994862,6337661.0,4914740.0,43857829888.0,1.2895211140365512,0.9756838905775076,0.8237082066869301,1.0,0.939209726443769,0.9237082066869301
AAOI,103.65,8.443189,11023588.0,6481016.0,7794357248.0,1.700904302658719,0.9574468085106383,0.9148936170212766,0.9331306990881459,0.7781155015197568,0.9197568389057752
KC,14.17,18.181822,3528905.0,1326788.0,4191749120.0,2.6597353910345887,0.9878419452887538,0.9787234042553191,0.7629179331306991,0.7112462006079028,0.9120060790273555
LAUR,34.0,7.3571205,3017748.0,1122061.0,5010551808.0,2.689468754372534,0.9361702127659575,0.9817629179331308,0.7659574468085106,0.8480243161094225,0.9092705167173253
MEOH,52.51,5.3782787,1666932.0,601618.0,4061097984.0,2.7707482156451437,0.8875379939209727,0.9848024316109423,0.790273556231003,0.9240121580547113,0.905775075987842
HIMS,22.2722,41.500633,146692176.0,23558525.0,5076697600.0,6.226713090059755,0.993920972644377,0.993920972644377,0.9209726443768997,0.23100303951367782,0.9030395136778115
LYV,162.98,4.3873634,5752378.0,2815708.0,38268014592.0,2.0429597103108703,0.8297872340425532,0.9513677811550152,0.9270516717325228,0.9027355623100304,0.8990881458966564
INSW,76.22,5.2617006,975647.0,564527.0,3764851200.0,1.7282556901618522,0.878419452887538,0.9300911854103343,0.8419452887537994,0.9483282674772037,0.8962006079027354
ADEA,21.315,7.272268,1828685.0,849807.0,2334209792.0,2.1518827216062,0.9331306990881459,0.9635258358662614,0.6808510638297872,0.8267477203647416,0.882674772036474
PTCT,67.99,8.22986,1499633.0,1238252.0,5627853824.0,1.211088696000491,0.9544072948328267,0.790273556231003,0.9027355623100304,0.8966565349544073,0.8808510638297872
CRCL,110.28,8.213124,15979769.0,13365659.0,28267898880.0,1.1955840710884513,0.9513677811550152,0.7781155015197568,0.9361702127659575,0.6838905775075987,0.8609422492401216
SNDX,23.953,8.531941,1734468.0,1303740.0,2112668672.0,1.3303787565005292,0.9604863221884499,0.8389057750759878,0.7477203647416414,0.8054711246200608,0.8598784194528876
