symbol,date,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
ALGN,2026-02-05 16:11:52,0.8794392523364486,0.8504672897196262,177.035,9.755115,0.925255913689508,1220431.0,0.9579439252336448,0.780373831775701,0.9299065420560748,12832624640.0
ALL,2026-02-05 16:11:52,0.7602803738317757,0.8364485981308412,215.0,3.8397436,0.6661590459454847,1663972.0,0.8271028037383178,0.6495327102803738,0.7990654205607477,56653643776.0
ARM,2026-02-05 16:11:52,0.827803738317757,0.6915887850467289,109.055,3.9629917,2.0384354617183105,5150478.0,0.8364485981308412,0.9439252336448598,0.677570093457944,115707199488.0
AXL,2026-02-05 16:11:52,0.7644859813084112,0.397196261682243,9.0,9.48905,2.05103285140002,4114193.0,0.9485981308411215,0.9485981308411215,0.3037383177570093,2121012480.0
BSX,2026-02-05 16:11:52,0.675,0.5747663551401869,77.375,2.632976,0.945902197322922,11631563.0,0.6682242990654206,0.794392523364486,0.5280373831775701,114748653568.0
CAH,2026-02-05 16:11:52,0.7483644859813084,0.8271028037383178,224.155,8.324074,0.497158138671258,2073465.0,0.9252336448598132,0.4345794392523364,0.9485981308411215,53258117120.0
CENT,2026-02-05 16:11:52,0.725,0.9299065420560748,36.57,4.1583567,0.7582968388688653,77409.0,0.8457943925233645,0.7009345794392523,0.4532710280373832,2275902976.0
CI,2026-02-05 16:11:52,0.7046728971962617,0.8551401869158879,281.54,3.6788883,0.527242299203096,1763324.0,0.7990654205607477,0.4813084112149532,0.8551401869158879,75206606848.0
CLS,2026-02-05 16:11:52,0.8369158878504673,0.8177570093457944,290.015,4.9980173,0.9097220229686872,2997298.0,0.8738317757009346,0.7710280373831776,0.897196261682243,33455519744.0
CMA,2026-02-05 16:11:52,0.658411214953271,0.7383177570093458,88.67,-4.51217,4.308255227047625,2354484.0,0.3037383177570093,0.9766355140186916,0.6822429906542056,11348051968.0
COHR,2026-02-05 16:11:52,0.6612149532710281,0.7570093457943925,201.0,-4.70772,1.3796924803530508,4786621.0,0.2943925233644859,0.8925233644859814,0.8504672897196262,31587876864.0
COR,2026-02-05 16:11:52,0.8147196261682244,0.8878504672897196,360.32,9.144883,0.5840887159286856,1390686.0,0.9439252336448598,0.5747663551401869,0.97196261682243,70091636736.0
CPAY,2026-02-05 16:11:52,0.8401869158878505,0.9532710280373832,333.75,11.2233095,0.6220649270389744,592234.0,0.9672897196261684,0.602803738317757,0.9766355140186916,23567550464.0
CVCO,2026-02-05 16:11:52,0.7460280373831775,0.9906542056074766,524.57,3.7807178,0.5417172729155356,178667.0,0.8084112149532711,0.4953271028037383,0.9532710280373832,4094288896.0
DAY,2026-02-05 16:11:52,0.7098130841121495,0.677570093457944,69.86,1.3639,8.291282169732654,3654017.0,0.6448598130841121,0.9813084112149532,0.3644859813084112,11180042240.0
EFX,2026-02-05 16:11:52,0.6992990654205608,0.8317757009345794,187.605,3.6335535,0.5635827112701639,1610367.0,0.7897196261682243,0.5327102803738317,0.7663551401869159,23112443904.0
ENSG,2026-02-05 16:11:52,0.8932242990654204,0.9392523364485982,197.205,13.872855,0.8605866660871361,368114.0,0.9813084112149532,0.7523364485981309,0.9626168224299064,11423056896.0
FN,2026-02-05 16:11:52,0.6509345794392524,0.9579439252336448,434.8,2.7900846,0.4801743059249341,654252.0,0.677570093457944,0.4065420560747663,0.8785046728971962,15577669632.0
FORM,2026-02-05 16:11:52,0.9128504672897196,0.8037383177570093,83.58,16.780777,1.344745109499717,1094980.0,0.9906542056074766,0.883177570093458,0.883177570093458,6478879232.0
GOOG,2026-02-05 16:11:52,0.6616822429906543,0.6448598130841121,320.162,-3.9533236,1.1248852608682915,23245121.0,0.3598130841121495,0.8364485981308412,0.8925233644859814,3864942346240.0
GSK,2026-02-05 16:11:52,0.6995327102803738,0.6401869158878505,59.045,3.153383,1.047943547640592,4375229.0,0.719626168224299,0.8130841121495327,0.4953271028037383,119116914688.0
HSY,2026-02-05 16:11:52,0.8911214953271028,0.8411214953271028,220.315,7.0698724,1.30269090266321,1697200.0,0.9158878504672896,0.8691588785046729,0.911214953271028,44676603904.0
IDCC,2026-02-05 16:11:52,0.8532710280373832,0.9766355140186916,352.0,12.148343,0.6300437902001682,274719.0,0.97196261682243,0.6261682242990654,0.9813084112149532,9082430464.0
ITT,2026-02-05 16:11:52,0.8892523364485982,0.8738317757009346,201.735,8.957606,1.0606921181141893,876440.0,0.9392523364485982,0.8177570093457944,0.9345794392523364,17357283328.0
JKHY,2026-02-05 16:11:52,0.650233644859813,0.8691588785046729,183.28,5.466682,0.3665631887129432,804036.0,0.9065420560747663,0.219626168224299,0.8457943925233645,13318077440.0
KELYB,2026-02-05 16:11:52,0.9990654205607477,1.0,91.1221,742.9429,1097.2878787878788,924.0,1.0,1.0,0.9953271028037384,3220164608.0
KGS,2026-02-05 16:11:52,0.8037383177570093,0.7242990654205608,44.685,5.3643045,1.3223944927434286,1563755.0,0.8878504672897196,0.8785046728971962,0.5654205607476636,3828783104.0
KLIC,2026-02-05 16:11:52,0.8037383177570093,0.8130841121495327,59.76,7.3468657,0.8645125602576714,652614.0,0.9205607476635514,0.7616822429906542,0.6682242990654206,3129212672.0
LASR,2026-02-05 16:11:52,0.6745327102803738,0.7850467289719626,45.18,3.0095751,0.8703762509290643,869154.0,0.6962616822429907,0.7663551401869159,0.4205607476635514,2294511872.0
MCK,2026-02-05 16:11:52,0.9441588785046728,0.9813084112149532,951.84,15.795624,1.275356233465022,704945.0,0.985981308411215,0.8598130841121495,1.0,118394044416.0
MKL,2026-02-05 16:11:52,0.7654205607476635,0.9953271028037384,2132.81,3.8328583,0.5494462838223542,43795.0,0.822429906542056,0.514018691588785,0.9906542056074766,26984314880.0
MTSI,2026-02-05 16:11:52,0.7350467289719627,0.8644859813084113,222.19,3.3297696,0.6699500638590606,1277031.0,0.7476635514018691,0.6542056074766355,0.7897196261682243,16666669056.0
NIO,2026-02-05 16:11:52,0.6439252336448598,0.0327102803738317,4.6783,5.3669925,1.2346455946916255,47560927.0,0.8925233644859814,0.8551401869158879,0.1448598130841121,11829826560.0
NVST,2026-02-05 16:11:52,0.6630841121495327,0.6261682242990654,24.55,3.7616205,0.8068190190639765,2266631.0,0.8037383177570093,0.719626168224299,0.3364485981308411,4079761408.0
OHI,2026-02-05 16:11:52,0.6434579439252336,0.705607476635514,45.125,5.044858,0.519883137513536,1858937.0,0.8785046728971962,0.4485981308411215,0.5420560747663551,13706222592.0
OSW,2026-02-05 16:11:52,0.785981308411215,0.7476635514018691,21.1,5.1320415,1.953263470823286,550319.0,0.883177570093458,0.9299065420560748,0.3831775700934579,2166911744.0
PATK,2026-02-05 16:11:52,0.7904205607476635,0.9345794392523364,141.1,4.7435226,0.7271650953738216,296465.0,0.8644859813084113,0.6915887850467289,0.7616822429906542,4695621632.0
PTC,2026-02-05 16:11:52,0.7511682242990655,0.8598130841121495,156.49,3.40294,0.797643452337059,949270.0,0.7663551401869159,0.7149532710280374,0.7336448598130841,18692458496.0
ROAD,2026-02-05 16:11:52,0.6425233644859811,0.8785046728971962,118.23,3.014731,0.553602892477642,480142.0,0.7009345794392523,0.5233644859813084,0.6308411214953271,6683143168.0
RRX,2026-02-05 16:11:52,0.9488317757009346,0.883177570093458,201.0425,12.755183,1.9667504227114607,805514.0,0.9766355140186916,0.9345794392523364,0.9579439252336448,13347145728.0
SIRI,2026-02-05 16:11:52,0.8392523364485981,0.5467289719626168,22.845,10.202603,3.285381541877429,4068767.0,0.9626168224299064,0.97196261682243,0.5373831775700935,7692835328.0
SITM,2026-02-05 16:11:52,0.9616822429906542,0.97196261682243,418.7,20.32993,1.603793225072908,348727.0,0.9953271028037384,0.911214953271028,0.985981308411215,10928333824.0
SNDK,2026-02-05 16:11:52,0.7172897196261682,0.7523364485981309,589.53,0.8519445,0.9485947856317666,14916016.0,0.6214953271028038,0.7990654205607477,0.7242990654205608,86995320832.0
TENB,2026-02-05 16:11:52,0.8406542056074766,0.6542056074766355,21.64,9.736309,2.574350798532507,1547401.0,0.9532710280373832,0.9626168224299064,0.5233644859813084,2620494848.0
