symbol,HotScore,MomentumScore,VolumeScore,VolumeSpike,VolatilityScore,TrendScore,cluster,watch_label,final_signal,y,predicted_signal,confidence
MGA,0.956629213483146,0.9932584269662922,0.9842696629213484,4.975881699527909,0.9348314606741572,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
MGA,0.956629213483146,0.9932584269662922,0.9842696629213484,4.975881699527909,0.9348314606741572,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
MGA,0.9572072072072072,0.9932432432432432,0.9842342342342344,5.329703399886065,0.9369369369369368,0.777027027027027,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9583146067415732,0.997752808988764,1.0,18.288206005938065,0.9157303370786516,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9583146067415732,0.997752808988764,1.0,18.288206005938065,0.9157303370786516,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.963626126126126,0.9977477477477478,1.0,25.87923780668166,0.9177927927927928,0.8085585585585585,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9674157303370788,0.9887640449438202,0.9932584269662922,8.753717755951834,0.9595505617977528,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9674157303370788,0.9887640449438202,0.9932584269662922,8.753717755951834,0.9595505617977528,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9676801801801802,0.9887387387387389,0.990990990990991,10.1450684622733,0.9617117117117115,0.8243243243243243,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
MGA,0.956629213483146,0.9932584269662922,0.9842696629213484,4.975881699527909,0.9348314606741572,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9583146067415732,0.997752808988764,1.0,18.288206005938065,0.9157303370786516,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9674157303370788,0.9887640449438202,0.9932584269662922,8.753717755951834,0.9595505617977528,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9587640449438204,0.997752808988764,1.0,18.288206005938065,0.9179775280898876,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
MGA,0.956629213483146,0.9932584269662922,0.9842696629213484,4.975881699527909,0.9348314606741572,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9670786516853932,0.9887640449438202,0.991011235955056,8.753717755951834,0.9617977528089888,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9583146067415732,0.997752808988764,1.0,18.288206005938065,0.9157303370786516,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9674157303370788,0.9887640449438202,0.9932584269662922,8.753717755951834,0.9595505617977528,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9670786516853932,0.9887640449438202,0.991011235955056,8.753717755951834,0.9617977528089888,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
MGA,0.956629213483146,0.9932584269662922,0.9842696629213484,4.975881699527909,0.9348314606741572,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
MGA,0.956629213483146,0.9932584269662922,0.9842696629213484,4.975881699527909,0.9348314606741572,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9583146067415732,0.997752808988764,1.0,18.288206005938065,0.9157303370786516,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9583146067415732,0.997752808988764,1.0,18.288206005938065,0.9157303370786516,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9674157303370788,0.9887640449438202,0.9932584269662922,8.753717755951834,0.9595505617977528,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9674157303370788,0.9887640449438202,0.9932584269662922,8.753717755951834,0.9595505617977528,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9587640449438204,0.997752808988764,1.0,18.288206005938065,0.9179775280898876,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9674157303370788,0.9887640449438202,0.9932584269662922,8.753717755951834,0.9595505617977528,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
ICLR,0.9670786516853932,0.9887640449438202,0.991011235955056,8.753717755951834,0.9617977528089888,0.8179775280898877,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
MGA,0.956629213483146,0.9932584269662922,0.9842696629213484,4.975881699527909,0.9348314606741572,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9583146067415732,0.997752808988764,1.0,18.288206005938065,0.9157303370786516,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
TPH,0.9587640449438204,0.997752808988764,1.0,18.288206005938065,0.9179775280898876,0.7595505617977528,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9575236686683966
MGA,0.9562921348314608,0.9932584269662922,0.9820224719101124,4.975881699527909,0.9370786516853932,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9356825898037959
MGA,0.9562921348314608,0.9932584269662922,0.9820224719101124,4.975881699527909,0.9370786516853932,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9356825898037959
MGA,0.9562921348314608,0.9932584269662922,0.9820224719101124,4.975881699527909,0.9370786516853932,0.7752808988764045,2,🔥 HOT,STRONG BUY,1,STRONG BUY,0.9356825898037959
