,price,ma50,avgvol,mean_ret_fwd_1d,appearances,appearances_persistent,avg_HotScore,mean_ret_fwd_5d,rule_score
AS,33.470001220703125,33.03239994049072,5262424.15,8.810146201744029,2,12.0,0.8058486037694359,0,4
CWAN,20.975000381469727,18.418500080108643,7018978.35,5.008017645793017,2,10.0,0.7937487559810059,0,4
GOOGL,285.5,259.177799987793,34869644.8,0.13332569555122298,2,10.0,0.7566945499183266,0,4
JAZZ,181.85000610351562,135.94180114746095,1210951.75,6.872833613438134,2,11.0,0.9624356367836409,0,4
LNW,87.0,81.90900024414063,4060665.2,,2,12.0,0.837919956804794,0,4
SNDK,245.64999389648438,155.5670007324219,12333713.85,-7.569204013242803,3,10.0,0.8189800194813053,0,4
TERN,27.209999084472656,10.876999959945678,5264794.15,6.455397703465637,3,13.0,0.8826851287077374,0,4
ALB,121.53500366210938,92.63588684082032,3940082.0,3.237047822238859,2,0.0,0.0,0,2
BLTE,124.33000183105469,87.91740051269531,99317.2,,1,0.0,0.0,0,2
DGNX,16.064699172973633,16.515493946075438,975286.75,18.209705611478565,2,12.0,0.9209176269514457,0,2
LQDA,30.440000534057617,24.457200164794923,2607868.5,,1,0.0,0.0,0,2
MDT,100.45999908447266,94.460576171875,7001587.4,4.35189291081215,2,0.0,0.0,0,2
MH,16.202999114990234,12.892059993743896,648114.2,6.1100106696604595,2,0.0,0.0,0,2
MRK,96.67500305175781,85.60580337524414,12410369.3,,1,0.0,0.0,0,2
NBIS,91.63999938964844,110.33240081787109,21867577.4,6.542218865296645,2,11.0,0.7580132147904709,0,2
ONDS,7.730000019073486,7.474300012588501,99097204.8,23.42125737725389,2,0.0,0.0,0,2
QUBT,12.534199714660645,17.19948392868042,36781881.3,8.869569197944971,2,12.0,0.7668515958453601,0,2
SRRK,39.64500045776367,32.70780025482178,2091444.35,8.705783193827198,2,0.0,0.0,0,2
BMNR,32.35499954223633,49.67969985961914,36255156.4,,1,0.0,0.0,0,0
HTFL,27.65999984741211,34.29799987792969,458877.15,,1,0.0,0.0,0,0
JHX,17.915000915527344,19.922100067138672,6866705.4,,1,0.0,0.0,0,0
LGN,0.0,0.0,,12.258480546707373,2,0.0,0.0,0,0
LSCC,64.44000244140625,69.46239944458007,2173402.2,,1,0.0,0.0,0,0
MSTR,208.6750030517578,293.4957006835937,13087969.65,,1,0.0,0.0,0,0
NFLX,114.24349975585938,116.86921035766602,48560319.3,,1,0.0,0.0,0,0
WULF,12.097000122070312,12.748140048980712,48881369.05,,1,0.0,0.0,0,0
