,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
RGC,37.88999938964844,19.311400051116944,4.4786629057752,25.423397985709077,110.79740531478723,24,301.0,0.849028845452471,6
SNDK,382.739990234375,246.40920043945312,1.6479493024308676,13.377612129148586,38.08678126336098,18,253.0,0.8226186724344042,6
RKLB,88.739501953125,59.02029014587402,2.0383951009748515,11.956584413573895,54.48785486983254,22,340.0,0.7554716468040334,6
MU,341.4486083984375,258.94398345947263,1.820570117431372,8.332228467755053,34.04938404216115,20,267.0,0.7914697792456141,6
ASTS,95.30999755859375,71.44949951171876,1.6467977835662282,8.205782347432606,24.79934613354514,22,345.0,0.7605821181962303,6
VERA,47.08000183105469,39.84339981079101,0.44676304603347494,8.12032841928616,26.767677353722455,16,248.0,0.8238586891884206,6
LITE,352.760009765625,312.57259979248045,0.9420790862558829,3.3038766366447523,12.097028970724883,18,262.0,0.7983203152228316,6
VNET,11.710000038146973,9.166800003051758,3.8796749621828326,14.379807562962132,,5,0.0,0.0,4
HYMC,34.290000915527344,15.525799922943115,0.053587820303100206,10.327538417707412,,11,0.0,0.0,4
CAMT,143.47999572753906,112.53499984741211,3.409041588833098,7.2940279379043105,-0.23540515168802076,8,0.0,0.0,4
MTSI,205.14500427246094,171.8879006958008,4.629675472358446,6.273814984960168,0.21858364296226118,5,0.0,0.0,4
COHR,192.4199981689453,168.69139953613282,1.5275474740986095,4.4961857249655175,7.160648910696584,13,0.0,0.0,4
PSLV,29.34000015258789,20.458400001525877,1.3615760492074642,3.0619066830342905,30.36997855338438,10,0.0,0.0,4
BMNR,31.170000076293945,33.34306503295898,0.360951097895299,2.9025357298179584,-13.40360768800706,21,242.0,0.7218907416258566,4
TSLA,448.6400146484375,444.1760015869141,-0.045575526241977304,-0.4363593051317676,-0.08890877410013837,21,241.0,0.6740004836701032,3
MSTR,165.2100067138672,185.8230014038086,0.12605781019623888,-0.9537094253184483,-13.234834484814082,23,258.0,0.7274398459141523,2
ABVX,122.80999755859375,118.80740005493163,1.3955046392421644,-1.8469012642126965,-2.6682190322568466,16,0.0,0.0,2
RBLX,80.37000274658203,91.31079971313477,4.757561871484883,0.0,,2,0.0,0.0,0
PSTG,75.83999633789062,77.66979949951173,-1.1972698355777476,-6.38213051516584,-11.69441496428059,12,0.0,0.0,0
