,price,ma50,avg_HotScore,median_HotScore,max_HotScore,avg_TrendScore,avg_MomentumScore,avg_VolumeScore,avg_VolatilityScore,avg_VolumeSpike,avg_regularMarketChangePercent,avg_regularMarketPrice,appearances,avg_HotScore_persistent,rule_score
SPOT,489.92999267578125,477.3047998046875,0.9664770928280163,0.9664770928280163,0.9667272727272728,0.9583928999760134,0.9575725593667546,0.9646677860398176,0.9892684096905733,2.889293348698086,14.463695,496.025,1,0.9664770928280163,4
RL,374.8999938964844,353.5045562744141,0.9615895898296952,0.9615895898296952,0.9689973614775724,0.9811753418085871,0.9565747181578316,0.946984888462461,0.9861309666586712,2.4542967896218775,14.086989500000001,375.62,1,0.9615895898296952,4
ARM,298.2300109863281,178.22190139770507,0.9430892300311825,0.9430892300311825,0.9514511873350924,0.807829215639242,0.9621731830175102,0.940887502998321,0.9811753418085871,2.170131180961218,14.900865,294.985,1,0.9430892300311825,4
AAP,58.619998931884766,53.98391319274902,0.9404396737826815,0.9404396737826815,0.9414248021108178,0.8159222835212281,0.9719405133125449,0.9833149436315662,0.8725401775005996,4.052547208801125,16.0226315,59.45,1,0.9404396737826815,4
ENS,238.91000366210938,197.17774017333986,0.9378875029983209,0.9378875029983209,0.9472295514511874,0.9874502278723916,0.9215639242024466,0.9296569920844329,0.9560757975533702,1.9673587018876169,10.5413405,237.1775,1,0.9378875029983209,4
IBM,252.97000122070312,236.3991928100586,0.9342122811225713,0.9342122811225713,0.9522427440633244,0.8193811465579276,0.9185704005756776,0.9689469896857761,0.9582153993763494,3.0848580946798467,10.615556000000002,248.885,1,0.9342122811225713,3
BIRK,39.66999816894531,36.99219997406006,0.9233300551691053,0.9233300551691053,0.929023746701847,0.7112449028544016,0.9874502278723916,0.9605325017989925,0.8520580474934036,2.679726940906831,19.4218635,39.66,1,0.9233300551691053,3
GFS,81.3499984741211,56.159900131225584,0.9174370352602542,0.9174370352602542,0.9294195250659628,0.7290717198368913,0.955898296953706,0.9440249460302231,0.8977836411609499,2.2125870017218494,14.058988,80.745,1,0.9174370352602542,3
WOLF,69.5,30.69799991607666,0.9158728711921325,0.9158728711921325,0.9170184696569922,0.6937395058767091,0.9829935236267691,0.9101894938834254,0.9194243223794676,1.6718388721537214,18.7819895,69.63,1,0.9158728711921325,3
ENPH,62.34000015258789,38.54959991455078,0.907031422403454,0.907031422403454,0.9156992084432718,0.5968337730870712,0.9762197169585032,0.9380714799712161,0.8867306308467258,2.118991882548213,17.337719,62.365,1,0.907031422403454,3
