symbol,marketCap,trailingPE,forwardPE,dividendYield,operatingMargins,debtToEquity,returnOnAssets,returnOnEquity,profitMargins,currentRatio,quickRatio,52WeekChange,revenueGrowth,currentPrice,health_score,pe_score,profit_score,op_margin_score,roe_score,debt_score,liquidity_score,growth_score,swing_score,avg_volatility,avg_volume_spike,range_pct,composite_score
DUOL,5085638656,12.488559,13.9133215,,0.15369001,6.601,0.05866,0.36960998,0.38441002,2.623,2.41,-0.7946423,0.265,109.15,95.27255900000002,22.488559000000002,20.0,15.0,15.0,3.399,4.384999999999999,15.0,0.7737148155016088,0.9478370018730391,1.0736211519340586,0.5978058753616468,96.78603627373778
PAAS,22352617472,16.735016,10.338288,1.17,0.48094,11.489,0.10613,0.20796,0.3165,2.84,2.065,0.83881116,0.493,53.05,91.564984,23.264984,20.0,15.0,15.0,0.0,3.3000000000000007,15.0,0.7614852558690147,0.7901690756696738,1.1175888524322457,0.5238822888653867,94.143150762056
PATH,6073574400,19.449999,12.86631,,0.07274,3.783,0.02365,0.18181999,0.19578,2.307,2.065,-0.119909525,0.173,11.67,89.584001,20.550001,19.578,7.274,15.0,6.2170000000000005,5.965,15.0,0.7487248780750875,0.6570183872769781,1.7364551600034548,0.5390196494815103,92.33978956015808
FSLR,33842436096,20.319355,13.443035,,0.33067,5.943,0.08447,0.18436001,0.30731001,2.557,1.911,0.94244385,0.236,314.95,93.452645,19.680645,20.0,15.0,15.0,4.057,4.715,15.0,0.7135627832577962,0.9490426896535251,1.0029336989821713,0.34565832501097304,92.0859752455461
NVO,193809235968,10.269953,13.268254,4.12,0.61574,72.086,0.19249001,0.71402,0.37205002,0.788,0.541,-0.42188573,0.24,43.75,91.709953,20.269953,20.0,15.0,15.0,0.0,6.44,15.0,0.7102970567014512,0.7331703347206308,1.2633293235930114,0.4201936426903289,90.99973372496217
BKNG,129784397824,22.067194,13.612978,0.96,0.25035998,,0.22259001,,0.22227,1.057,0.987,-0.26048195,0.162,167.49,80.717806,17.932806,20.0,15.0,0.0,5.0,7.785,15.0,0.7956616747190735,0.9997816052630917,1.0814156257336673,1.0285672163816613,90.80701544644138
NEM,115647995904,14.050584,9.518245,0.96,0.61379004,15.762,0.14887,0.25832,0.3387,2.443,1.89,0.9715649,0.458,108.33,94.335584,24.050584,20.0,15.0,15.0,0.0,5.285,15.0,0.6714063726192073,0.8556843214204011,0.5568097915038034,0.3200089072718914,89.8832047509573
HBM,11963547648,18.035929,14.505458,0.1,0.40037,29.458,0.06909,0.19476,0.27745,1.356,1.17,2.169279,0.273,30.12,96.244071,21.964071,20.0,15.0,15.0,0.0,9.280000000000001,15.0,0.6345778611701933,0.6224562498415698,0.6940109870720603,0.4631086143416497,88.53371102109429
CRM,154586251264,21.871378,12.145606,0.93,0.218,124.282,0.05703,0.16908,0.18733,0.786,0.615,-0.286479,0.133,188.75,86.59162199999999,18.128622,18.733,15.0,15.0,0.0,6.43,13.3,0.7041277255877862,0.9305341775697846,1.4567963861570326,0.34788960921560547,88.02446775461473
META,1593038340096,22.82903,17.354347,0.33,0.40617,35.608,0.16395001,0.32930002,0.32837,2.348,2.11,-0.09003532,0.331,627.57,87.93097,17.17097,20.0,15.0,15.0,0.0,5.760000000000001,15.0,0.6813408682745212,0.9642768549825734,0.8979151259680928,0.3093776108576062,87.26963339025605
