,price,ma50,avgvol,mean_ret_fwd_1d,appearances,appearances_persistent,avg_HotScore,mean_ret_fwd_5d,rule_score
AS,33.599998474121094,33.03499988555908,5238127.25,9.200259761535534,2.0,11.0,0.7965177809920221,0,4
GOOGL,286.1549987792969,259.1908999633789,34815481.7,0.38593998523481776,2.0,10.0,0.7566945499183266,0,4
JAZZ,182.22999572753906,135.9494009399414,1198821.9,7.137397643028831,2.0,10.0,0.9612409288570666,0,4
LNW,87.0,81.90900024414063,4060665.2,,2.0,11.0,0.8462493804873849,0,4
MTSR,70.5,53.46820014953613,4779945.55,,,10.0,0.6855018323083708,0,4
SNDK,245.63999938964844,155.56680084228515,12303798.75,-7.556044541797879,3.0,10.0,0.8189800194813053,0,4
TERN,27.18000030517578,10.876399984359741,5260347.1,6.103291885313422,3.0,12.0,0.8822324491041641,0,4
BLTE,124.56999969482422,87.9222004699707,99173.95,,1.0,0.0,0.0,0,2
CWAN,20.959999084472656,18.4182000541687,7003062.45,4.9073684691095965,2.0,0.0,0.0,0,2
DGNX,16.260000228881836,16.519399967193603,973229.7,19.64679945780212,2.0,11.0,0.9190874673364818,0,2
LQDA,30.475000381469727,24.457900161743165,2601968.8,,1.0,0.0,0.0,0,2
MDT,100.88999938964844,94.46917617797851,6955839.85,4.779394168378559,2.0,0.0,0.0,0,2
MH,16.209999084472656,12.892199993133545,646170.0,6.155851987751992,2.0,0.0,0.0,0,2
MRK,96.66000366210938,85.60550338745117,12374272.8,,1.0,0.0,0.0,0,2
NBIS,90.58830261230469,110.31136688232422,21833155.5,5.419860259099485,2.0,10.0,0.745280585652234,0,2
ONDS,7.6855998039245605,7.473412008285522,98815673.95,22.745002434118344,2.0,0.0,0.0,0,2
QUBT,12.455599784851074,17.197911930084228,36710954.55,8.289569357167114,2.0,11.0,0.763164703885174,0,2
SRRK,39.244998931884766,32.6998002243042,2085911.65,7.732381684767731,2.0,0.0,0.0,0,2
BMNR,32.43000030517578,49.68119987487793,36196760.5,,1.0,0.0,0.0,0,0
FCX,40.42499923706055,41.32622764587402,14390638.75,,1.0,0.0,0.0,0,0
HTFL,27.834999084472656,34.3014998626709,457885.8,,1.0,0.0,0.0,0,0
IREN,49.65919876098633,53.35828414916992,39704254.2,,1.0,0.0,0.0,0,0
JHX,17.920000076293945,19.922200050354004,6826786.55,,1.0,0.0,0.0,0,0
LGN,0.0,0.0,,11.917753527382757,2.0,0.0,0.0,0,0
MSTR,209.0489959716797,293.5031805419922,13049808.4,,1.0,0.0,0.0,0,0
NFLX,113.94999694824219,116.86334030151367,48490578.2,,1.0,0.0,0.0,0,0
WULF,12.21500015258789,12.750500049591064,48767886.3,,1.0,0.0,0.0,0,0
