,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
AS,34.060001373291016,32.892799949646,2.656353605235961,0.0,,4,25.0,0.8201808639989572,4
EXAS,100.9000015258789,62.847000198364256,13.573931446871711,0.0,,4,20.0,0.9055471317858028,4
LNW,90.19999694824219,82.00680007934571,0.9241760623211775,0.0,,4,25.0,0.8074969749756475,4
PACS,27.5,13.304799938201905,17.265870846381453,0.0,,5,19.0,0.9378564131822057,4
TERN,26.315000534057617,12.032100009918214,2.582187834500102,0.0,,4,19.0,0.889542791980119,4
CWAN,21.579999923706055,18.483400058746337,1.3081169541548143,0.0,,4,19.0,0.7801975077361425,3
GOOG,299.6499938964844,262.98259979248047,1.2253048016323516,0.0,,5,21.0,0.7768841081407503,3
GOOGL,299.6600036621094,262.38500030517577,1.2802036335538058,0.0,,5,22.0,0.769338300717476,3
ADPT,18.610000610351562,15.287000045776367,10.877320796304835,0.0,,4,0.0,0.0,2
DGNX,12.119999885559082,16.692399978637695,-3.099393569460055,0.0,,3,18.0,0.9279617341094233,2
NBIS,83.26000213623047,110.11000076293945,-0.5736068763422449,0.0,,4,23.0,0.7831075877989923,2
TXG,18.34000015258789,13.414000053405761,,0.0,,2,0.0,0.0,2
LEN,123.16000366210938,123.97413162231446,,0.0,,2,0.0,0.0,0
WSC,17.610000610351562,20.758300056457518,11.10410212317381,0.0,,3,0.0,0.0,0
