symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
BLTE,120.56,10.423152,250174.0,75618.0,4206457856.0,3.3083921817556665,0.983157894736842,0.991578947368421,0.9347368421052632,0.9894736842105264,0.9770526315789474,0.9343458442769744,1.011380159237036
GRAL,93.55,9.223586,1988963.0,1048453.0,3646787072.0,1.8970454564963808,0.9705263157894736,0.9094736842105264,0.9010526315789472,0.8357894736842105,0.9217894736842104,0.8377299171708644,1.0110657733482546
LITE,255.59,9.582408,7714645.0,4143700.0,18124550144.0,1.861776914351908,0.9768421052631578,0.9031578947368422,0.991578947368421,0.791578947368421,0.9354736842105262,0.8822647235107581,0.9978916013752677
MOG-A,214.77,8.15833,341164.0,135523.0,6818850304.0,2.517388192410144,0.9494736842105264,0.9789473684210528,0.9747368421052632,0.9873684210526316,0.9686315789473684,0.9686315789473684,0.9843157894736843
PODD,331.17,5.842308,1442987.0,622681.0,23311896576.0,2.317377597839022,0.7663157894736842,0.9621052631578948,0.9852631578947368,0.96,0.8979999999999999,0.8468222277979222,0.9792175418417868
ROST,174.0,8.411215,7821190.0,2460303.0,56910270464.0,3.1789539743681976,0.96,0.9894736842105264,0.9578947368421052,0.8021052631578948,0.9541052631578948,0.9541052631578948,0.9770526315789474
HTFL,30.85,11.492592,819234.0,421570.0,2627146496.0,1.94329292881372,0.991578947368421,0.92,0.6978947368421052,0.8084210526315789,0.8894736842105263,0.8476000159631274,0.9694381560851939
RH,153.08,9.70332,1402483.0,1071676.0,2869495296.0,1.3086819150564164,0.9789473684210528,0.671578947368421,0.96,0.8757894736842106,0.8572631578947368,0.7929067362218678,0.9692141712832096
OSIS,251.1,7.321454,361789.0,201507.0,4263143680.0,1.7954165363982393,0.9094736842105264,0.8926315789473684,0.9810526315789474,0.9789473684210528,0.924842105263158,0.924842105263158,0.9624210526315791
ADPT,18.61,14.031869,5068292.0,1967982.0,2841099264.0,2.5753751812770647,0.9978947368421052,0.9810526315789474,0.6252631578947369,0.511578947368421,0.8688421052631579,0.8267422558806622,0.9598823430658329
