,price,ma50,ma200,ret30_pct,vol20_ann_pct,avgvol,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
ARQT,0.0,0.0,"Ticker
ARQT    16.0095
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
ARQT    32.43927
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
ARQT    108.695349
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
ARQT    2975515.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,3.0,6.0,0.8345701580900292,2
DASH,0.0,0.0,"Ticker
DASH    223.470475
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
DASH   -25.232483
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
DASH    74.37495
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
DASH    6090080.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,3.0,6.0,0.8876460125792359,2
FIGR,0.0,0.0,,,,,,0.0,,3.0,6.0,0.7914362408627672,2
JAZZ,0.0,0.0,"Ticker
JAZZ    122.374101
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
JAZZ    23.629884
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
JAZZ    76.069438
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
JAZZ    1094540.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,2.0,5.0,0.9904696485661957,2
NUVL,0.0,0.0,"Ticker
NUVL    79.171825
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
NUVL    28.801433
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
NUVL    66.986675
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
NUVL    627105.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,2.0,5.0,0.9810447254719517,2
PACS,0.0,0.0,"Ticker
PACS    11.6944
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
PACS    13.357396
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
PACS    180.80406
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
PACS    1187975.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,2.0,5.0,0.9645574228147537,2
PRAX,0.0,0.0,"Ticker
PRAX    62.555975
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
PRAX    287.563758
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
PRAX    81.487001
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
PRAX    759900.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,3.0,6.0,0.7623689948323847,2
SNDK,0.0,0.0,,"Ticker
SNDK    119.427258
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
SNDK    128.723106
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
SNDK    11758565.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,3.0,6.0,0.9064387772773922,2
SQM,0.0,0.0,"Ticker
SQM    39.9563
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
SQM    37.757711
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
SQM    57.297162
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
SQM    1761335.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,2.0,5.0,0.9557359928731637,2
TERN,0.0,0.0,"Ticker
TERN    5.7723
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
TERN    203.20283
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
TERN    262.049081
Name: 2025-11-17 00:00:00, dtype: float64","Ticker
TERN    5187690.0
Name: 2025-11-17 00:00:00, dtype: float64",,0.0,,3.0,6.0,0.9182999841077208,2
