,price,ma50,avgvol,mean_ret_fwd_1d,appearances,appearances_persistent,avg_HotScore,mean_ret_fwd_5d,rule_score
LNW,87.0,81.90900024414063,4060665.2,,2.0,7.0,0.8734100489120553,0,4
PACS,14.489999771118164,12.437799949645996,1178798.95,-7.5828042921176175,2.0,7.0,0.9642219861568586,0,4
SNDK,233.69500732421875,155.32790100097657,11820635.6,-10.775541082113726,3.0,7.0,0.906901440431313,0,4
TERN,26.709999084472656,10.866999959945678,5078173.45,3.990612202957111,3.0,8.0,0.8955309509351406,0,4
ARQT,25.8799991607666,20.916099891662597,2942731.85,-0.9170797494019389,3.0,7.0,0.8356991524028207,0,3
GOOGL,279.5400085449219,259.05860015869143,33423154.6,-1.3718348932789448,2.0,7.0,0.8085027931020583,0,3
DASH,208.24000549316406,252.3747994995117,6053688.75,-0.41774965559974175,3.0,7.0,0.8873883384831751,0,2
DGNX,14.850000381469727,16.49119997024536,893152.25,11.258276054396067,2.0,7.0,0.9170055722332526,0,2
MTSR,70.5,53.46820014953613,4779945.55,,,0.0,0.0,0,2
FIGR,0.0,0.0,,-6.81818407593342,3.0,7.0,0.789280218742587,0,1
QUBT,11.579999923706055,17.180399932861327,34855354.55,2.4782595427139897,2.0,7.0,0.7684457843653625,0,1
AS,32.68000030517578,33.01659992218018,4905816.05,6.599482027114734,2.0,0.0,0.0,0,0
TSLA,395.1148986816406,431.8808984375,86444288.65,-2.7340366884085365,2.0,0.0,0.0,0,0
